mH,Obs,Exp,-2,-1,+1,+2
100,0.0,3.61735,1.94152,2.6065,5.20371,7.41081
105,0.0,3.5243,1.89158,2.53946,5.07907,7.2591
110,0.0,3.73161,2.00285,2.68883,5.37754,7.6879
115,0.0,4.01448,2.15467,2.89265,5.77528,8.22778
120,0.0,3.99191,2.14256,2.87639,5.78127,8.31746
125,0.0,4.38613,2.35415,3.16045,6.35119,9.12883
130,0.0,5.40243,2.89962,3.89275,7.81853,11.2287
135,0.0,6.14055,3.29579,4.4246,8.91539,12.8825
140,0.0,8.78558,4.71545,6.3305,12.6772,18.1699
145,0.0,11.9952,6.43815,8.64323,17.38,25.0262
150,0.0,18.4229,9.88806,13.2747,26.6623,38.2988
